Time_of_Day_Minutes,Day_of_Week,Distance_KM,Trip_Duration_Sec,Num_Stops,Trip_ID
758,7,3.3767119116529303,1334,12,T0330
530,1,15.141382373970803,2677,4,T0185
820,3,6.967215273233591,1222,12,T0357
1294,7,9.246738491400537,3754,13,T0476
1385,7,10.360088937269476,3768,13,T0422
795,3,4.779550516135675,1206,6,T0397
677,1,4.249722923559704,617,5,T0377
716,1,1.8035021062843022,1229,8,T0254
1335,7,5.515555404745956,4029,15,T0462
469,5,11.441319091704194,3302,8,T0153
497,2,14.778889952019231,3300,10,T0209
713,3,3.9895069434580335,630,8,T0348
443,5,16.82947401797422,3238,6,T0020
1264,7,5.4187291392479295,2427,7,T0448
1362,6,8.55182957604436,4504,12,T0412
706,4,5.764953043280622,1367,9,T0341
433,2,11.876690083971262,2048,9,T0026
823,2,6.548108685999595,1142,12,T0247
1327,7,5.626125290132738,4315,4,T0480
520,5,17.749628625043403,1802,8,T0146
534,5,18.61664312958371,3342,10,T0057
770,2,6.674571429456001,957,10,T0237
490,3,18.375505301807145,2967,10,T0088
447,5,10.521579091407677,2386,6,T0044
771,7,5.70318228027829,1388,7,T0284
774,5,6.912940963712209,790,8,T0258
704,7,3.911301259223138,1237,8,T0280
50,5,10.158768724323703,2983,12,T0499
480,5,8.113667068979797,1830,7,T0182
534,4,14.728724610347438,2899,5,T0151
427,5,15.012312873275167,3534,6,T0065
867,5,6.67200131313093,1204,6,T0338
858,6,6.262010744913568,750,11,T0264
792,1,3.8553047675832763,712,8,T0401
484,3,10.067241407887524,3008,8,T0139
673,5,1.8955302701465788,637,12,T0246
425,4,17.120388946003757,1834,5,T0130
467,1,15.961693157811105,2720,4,T0129
1295,7,8.551232060656238,3693,9,T0426
760,1,4.276603690739606,819,11,T0408
868,4,3.83382867503051,892,10,T0259
461,5,10.376374871476136,2781,4,T0042
451,5,10.976836871002153,2021,6,T0214
1369,6,7.03922103906788,3371,11,T0487
455,5,11.461996356602317,1848,8,T0174
498,5,11.720457219022762,1933,6,T0219
789,7,4.296445938121689,1141,5,T0332
47,5,10.423811821430323,4155,6,T0468
39,5,10.69801787314622,4138,11,T0434
1308,7,8.960035479210685,4377,14,T0481
695,1,4.247163670709126,1454,5,T0302
790,1,3.079779180306563,1443,5,T0360
422,3,13.320094491184662,3110,9,T0147
668,5,2.853623262705418,1239,6,T0269
481,5,11.975169556220852,1948,9,T0021
797,2,6.489739101730302,1209,5,T0267
681,7,6.246456023972921,641,7,T0342
1370,7,7.161238491297836,3635,9,T0486
1317,5,11.697265500415188,3556,10,T0494
497,3,9.314896714549553,3294,10,T0133
448,5,14.534481266756314,1980,9,T0191
697,7,2.5278411040107946,1405,9,T0292
758,3,3.942028790552884,886,12,T0315
684,6,2.6375703320274386,815,9,T0324
757,6,3.626415900048905,611,10,T0245
1356,7,7.885963040628559,4306,15,T0452
1424,5,11.141558067798826,4698,4,T0489
724,2,4.654032646421063,894,9,T0236
767,1,2.3203791936846065,809,5,T0243
487,5,17.336020564112744,1916,10,T0166
429,5,10.822321991719164,3211,8,T0033
877,1,2.9567774742472124,1025,8,T0368
882,3,3.926278651491492,772,8,T0281
754,6,5.554601945784191,1424,8,T0335
432,4,12.897615808853462,1908,3,T0047
1346,7,6.451017716282196,3341,4,T0471
812,6,2.227723724248264,1265,9,T0318
457,5,14.084605709939089,2093,9,T0040
481,5,14.143615833857746,2552,10,T0184
445,5,8.31116658519408,2607,9,T0210
463,2,18.002633386657074,1939,5,T0046
1392,7,8.239911857426694,3353,12,T0435
461,3,16.20673102599421,3496,6,T0051
537,3,16.402207163029328,3295,7,T0055
676,7,3.953771202500171,802,9,T0337
788,5,2.5639407443809326,822,5,T0276
535,5,16.53420205668946,3155,10,T0003
675,4,6.942616528914771,902,12,T0375
469,2,8.098581308522533,2548,5,T0101
707,2,5.921774510115948,1346,10,T0395
464,4,8.510372848586746,2996,4,T0053
821,4,2.925702546614358,778,7,T0282
449,5,9.638287871341031,2132,9,T0066
666,5,2.265145125262962,738,6,T0351
861,6,5.923114344402768,689,5,T0350
792,4,5.216289512517981,1481,7,T0253
495,3,8.371598141289885,3147,9,T0106
448,5,12.7986240051019,1845,3,T0212
865,6,4.95151932543766,795,8,T0399
1313,7,8.937669907929044,4256,14,T0421
868,3,2.4852326285391326,944,11,T0396
459,5,10.528186888628372,2080,7,T0005
1352,6,5.069874913437911,2910,11,T0455
851,2,4.086807790285807,646,6,T0294
1338,5,7.922510110580857,3782,6,T0454
438,3,14.17949973324455,3547,3,T0118
884,3,5.779122040058044,684,12,T0372
509,4,18.5373123997921,3506,3,T0217
461,4,19.697889759363097,2293,8,T0086
527,5,10.73896246796265,2649,9,T0073
476,3,9.396056454693142,2834,10,T0102
536,3,12.330328304504295,1963,7,T0092
668,1,3.888635501232878,1288,9,T0296
761,1,6.2882739683534705,895,6,T0361
682,3,1.646141672460137,891,7,T0410
540,4,12.21637287636359,2953,10,T0025
674,2,6.175969934604239,848,12,T0311
525,4,17.19063610705326,3060,10,T0035
512,5,16.274451119256675,2151,7,T0013
788,5,5.9672921662428795,999,10,T0322
758,7,6.5257885367977675,1424,6,T0331
453,2,18.02883903052596,1856,7,T0002
848,2,4.295491197675988,1057,9,T0298
458,5,11.028960890609154,3345,10,T0031
526,3,10.770186809997133,3298,6,T0176
455,5,17.149637987018583,2645,9,T0063
422,1,15.03527666587542,3251,3,T0049
519,2,15.808560759579237,2490,7,T0189
493,4,19.067956939181663,2180,10,T0207
683,6,3.50380533195609,1353,11,T0238
540,3,10.367445901529909,2756,9,T0062
731,1,5.187986513158931,1371,9,T0285
519,5,9.263310645194782,2423,5,T0225
1392,7,11.024641349294512,4703,4,T0457
3,7,10.173024151144578,2763,12,T0500
1270,5,7.727045382431931,4351,7,T0490
1357,7,7.0295333906569075,3368,4,T0413
712,4,6.028629735865608,1308,8,T0317
816,5,3.7436863290123155,1109,6,T0376
716,4,3.87581863652924,1069,7,T0249
526,1,14.030278923231933,2203,9,T0116
540,5,16.442352706161472,3061,10,T0043
1338,6,6.765273828374063,2720,15,T0472
454,4,16.63836206409386,1887,3,T0221
439,3,10.266777984933103,2698,3,T0192
824,4,1.6322095439721178,1255,6,T0343
898,4,5.558289956464197,727,6,T0279
1368,7,9.443476088032536,3332,9,T0431
431,3,8.430298875854158,3271,9,T0027
1318,5,9.061497629754932,4146,5,T0420
673,7,4.801773418129072,1052,10,T0314
797,2,4.245966619444371,1368,7,T0270
474,5,9.971378660285312,2036,3,T0190
495,4,8.386592141812052,1894,10,T0124
831,3,2.0663525558856906,1148,6,T0349
871,1,4.002149975357845,961,12,T0304
428,2,14.508579928657918,1883,8,T0006
873,7,6.839172853326269,1255,10,T0354
425,5,8.175755262700187,2327,4,T0152
854,4,4.432366612395629,1300,8,T0272
422,5,9.906787557549084,1964,8,T0137
447,1,11.73922565966875,2859,6,T0067
838,4,5.363053336933285,1482,11,T0290
857,2,3.7695872891742304,1226,10,T0346
676,1,6.480787091052638,793,12,T0404
1417,5,8.67938379346576,3816,4,T0438
443,3,16.067842239385463,2344,10,T0041
526,5,12.41106976265171,1803,5,T0015
488,3,19.895455902409942,2014,6,T0154
891,3,4.925582474765761,1055,11,T0230
444,2,13.63956626297501,3493,9,T0158
421,4,12.727824776009339,3393,10,T0050
1292,6,6.245182535068073,4049,8,T0417
533,3,8.20691279719143,1915,10,T0202
487,2,16.752617337133913,2997,8,T0114
757,6,4.248474991262744,1103,11,T0378
1320,6,5.621138387804397,4089,8,T0414
540,5,8.630548268395014,3274,5,T0095
493,5,19.43043358983648,2577,7,T0188
508,5,12.530561851279673,3163,8,T0074
487,2,11.777859215302254,2763,3,T0157
822,3,1.5067677482660975,1014,9,T0405
1393,7,8.023386104760846,3885,12,T0497
474,2,12.650001405859436,2667,10,T0173
1350,7,10.330005091825626,4716,15,T0418
500,2,12.814844845578147,3560,4,T0077
498,5,13.838767762647102,3464,9,T0213
433,5,18.262260402317487,2364,5,T0070
1337,7,11.017259405077336,4440,12,T0451
672,7,5.673690496794724,904,9,T0241
1397,6,7.531200194998503,4365,14,T0491
512,4,9.37730673390529,2702,4,T0078
691,3,5.980004954283178,1226,6,T0364
494,5,8.6725919318074,3157,7,T0125
871,4,3.388836195820532,1091,8,T0355
689,6,4.091918960844654,909,12,T0329
821,6,6.818234940411029,1367,12,T0394
812,2,6.858683348999343,1396,9,T0277
491,1,11.355534976093043,2967,8,T0171
11,7,5.068399266781068,2568,7,T0456
784,4,5.6785570636247265,1116,7,T0286
1413,7,6.88546546571938,3108,6,T0496
820,5,6.788749509343203,1035,11,T0344
530,5,19.848265563857396,2547,7,T0211
488,1,9.264215273169334,2006,8,T0205
422,1,17.461080457054667,3026,7,T0082
837,3,3.474451073161617,1178,12,T0387
426,5,17.997126762280303,1917,8,T0091
521,5,12.19805805762756,2598,4,T0096
669,7,6.895637260550131,1389,11,T0407
895,5,4.242930488728646,1099,11,T0400
674,6,4.375266285860942,1158,6,T0366
662,1,6.12640921824007,821,7,T0301
535,2,11.817668015526284,3197,9,T0168
490,5,10.733337831304116,2947,10,T0119
793,3,4.780044237672664,749,10,T0303
424,1,19.805895420234396,2173,6,T0149
436,1,18.39774629979472,2943,5,T0008
498,5,13.917096496731716,1916,6,T0167
811,1,2.005135320868429,659,10,T0240
473,3,12.266685728294249,2126,8,T0198
698,1,1.8233289255820564,925,5,T0235
533,4,12.991167402492659,2992,6,T0076
707,1,2.911386034378164,1454,6,T0287
38,6,9.679115340940282,4123,9,T0466
474,4,15.553698950211858,2603,9,T0159
1339,6,10.832395358398166,3965,15,T0469
453,4,13.150925639021768,2546,3,T0200
1380,6,7.136347521886195,3082,4,T0416
465,2,14.385901509987303,2196,7,T0038
523,2,9.874488487227493,2921,8,T0075
439,2,11.38985616984722,2562,9,T0203
1432,7,6.4567042140420305,2407,9,T0460
470,5,19.665788822893724,1918,5,T0071
466,3,16.397874402979326,3112,8,T0037
440,3,8.76833103269936,2146,9,T0194
856,1,5.296582648582434,924,6,T0275
540,5,12.387603593666169,2327,5,T0120
1423,7,7.280510550848462,3231,14,T0473
703,6,5.602702223150924,1498,12,T0406
740,5,1.7286513067427478,845,12,T0266
477,5,14.190623156368282,1977,10,T0109
1362,6,7.021591529008813,3557,15,T0444
660,2,2.894770621559841,628,5,T0386
524,1,13.746317145243173,2976,10,T0208
735,1,6.830162567530567,659,12,T0307
1278,7,9.498280423600457,4453,6,T0419
815,1,4.84227664097591,603,8,T0369
479,4,18.314574129506017,3478,9,T0010
461,5,15.261369110092613,2302,3,T0177
454,5,8.429967910455806,2273,9,T0196
477,3,12.112891585311504,3461,3,T0111
761,2,2.033635200545306,1495,6,T0371
799,5,2.560963873945296,1454,11,T0379
672,5,5.434915337912571,1045,6,T0252
427,5,11.30117453811225,2989,3,T0032
502,1,16.098825872893272,2565,8,T0201
810,7,5.465548553308132,1437,5,T0362
497,3,12.68695118854888,1881,4,T0030
869,5,5.953866272537134,1194,8,T0385
45,7,6.200289174491321,4707,7,T0433
1286,7,6.817857471299318,3305,11,T0441
494,3,9.091750485710584,1911,3,T0085
533,3,15.65683747922363,3264,5,T0127
510,1,14.939776559970255,2882,7,T0175
485,2,11.856159220008745,2373,6,T0156
1371,5,7.287477880781392,4468,7,T0439
428,1,13.438223811109303,2780,9,T0195
538,2,13.014752974205837,3214,6,T0113
440,2,11.678400518774188,2465,3,T0143
481,3,16.098324202964967,2736,4,T0104
664,5,4.599517315361222,999,5,T0319
711,7,4.262212676912611,885,8,T0244
518,3,14.05537656584748,2058,7,T0224
484,4,9.046656454680011,3167,4,T0069
442,5,11.049200477641431,2328,3,T0099
455,5,13.040322452647096,2298,7,T0068
875,4,6.561127699524733,805,9,T0288
438,3,15.63616261454657,2347,3,T0028
430,1,15.425970566349465,3045,8,T0098
452,1,15.948924367639863,2316,4,T0048
485,5,14.959447062829577,3269,4,T0036
432,1,11.724141293164257,2307,7,T0087
1358,6,7.2311643508779335,3472,12,T0449
817,7,6.672514430257383,613,10,T0262
472,1,9.032022139556311,3343,5,T0097
449,1,16.03715528674727,3587,10,T0123
519,3,8.297988970548841,3262,9,T0009
1320,7,6.102335837787359,3354,4,T0446
515,2,13.673639012517219,3596,6,T0060
464,3,8.81322275173322,2038,8,T0131
888,4,3.0458703598847006,709,8,T0261
494,1,19.627196126429386,2874,10,T0061
485,1,17.920787136737616,3072,6,T0110
826,7,1.953661867021437,943,5,T0300
443,2,19.939212077483084,1857,4,T0178
508,3,8.330751758995039,2068,10,T0001
869,5,6.283684564314614,1018,5,T0367
854,5,6.492268378771306,1456,6,T0402
424,1,11.299155704212534,1899,8,T0170
540,3,9.627594877605096,3397,4,T0081
506,5,11.183389115863736,2248,5,T0180
486,3,18.019186216954424,2371,10,T0108
521,5,10.223279846604386,2769,7,T0229
536,1,13.352089468528785,2984,10,T0215
701,4,5.066314511377852,678,9,T0333
471,1,10.470570716088906,3526,9,T0142
1433,7,11.913951137335395,2806,5,T0445
696,3,3.166221288413065,852,6,T0289
807,4,4.163966177813325,1225,11,T0260
672,7,2.529621181350709,912,6,T0291
488,1,16.675473793990275,3257,10,T0162
485,5,12.5989423465585,1817,8,T0122
1335,7,9.68632847934458,3318,9,T0437
493,4,17.70742943149444,2507,6,T0181
531,5,8.266631309551899,2511,4,T0179
1277,7,8.701772624492143,4755,11,T0465
694,1,1.7961670252662387,1083,9,T0274
888,5,4.971530766496693,1447,8,T0382
499,5,8.958343846371783,3208,5,T0141
773,4,2.414575021669548,1492,10,T0271
1285,5,5.696389349254841,3922,6,T0430
701,6,2.101037784824021,785,11,T0309
859,1,3.4256834788103765,858,10,T0295
499,5,9.623333672910835,2912,3,T0155
1351,5,5.30051334489597,2990,5,T0485
420,5,9.839533471102312,2787,10,T0089
536,4,9.710514621495209,2903,4,T0135
1437,6,6.090138972894517,3861,7,T0495
423,5,10.2119119760857,2095,9,T0165
843,6,3.418648579484394,1479,9,T0380
679,4,2.400293018742558,768,12,T0391
510,2,18.308048006218502,3202,5,T0204
701,1,4.540494015389522,1455,12,T0328
461,1,12.181260218623585,2123,8,T0093
535,2,14.944826222488985,2308,9,T0018
508,5,15.234892368929188,1833,6,T0024
491,1,10.315218654673517,3112,9,T0117
777,6,1.932747038035313,733,5,T0336
