Time_of_Day_Minutes,Day_of_Week,Distance_KM,Trip_Duration_Sec,Num_Stops,Trip_ID,Cluster
758,7,3.3767119116529303,1334,12,T0330,2
530,1,15.141382373970805,2677,4,T0185,0
820,3,6.967215273233591,1222,12,T0357,2
1294,7,9.246738491400537,3754,13,T0476,1
1385,7,10.360088937269476,3768,13,T0422,1
795,3,4.779550516135675,1206,6,T0397,2
677,1,4.249722923559704,617,5,T0377,2
716,1,1.8035021062843024,1229,8,T0254,2
1335,7,5.515555404745956,4029,15,T0462,1
469,5,11.441319091704194,3302,8,T0153,0
497,2,14.778889952019233,3300,10,T0209,0
713,3,3.9895069434580335,630,8,T0348,2
443,5,16.82947401797422,3238,6,T0020,0
1264,7,5.4187291392479295,2427,7,T0448,1
1362,6,8.55182957604436,4504,12,T0412,1
706,4,5.764953043280622,1367,9,T0341,2
433,2,11.876690083971262,2048,9,T0026,0
823,2,6.548108685999595,1142,12,T0247,2
1327,7,5.626125290132738,4315,4,T0480,1
520,5,17.749628625043403,1802,8,T0146,0
534,5,18.61664312958371,3342,10,T0057,0
770,2,6.674571429456001,957,10,T0237,2
490,3,18.375505301807145,2967,10,T0088,0
447,5,10.521579091407675,2386,6,T0044,0
771,7,5.70318228027829,1388,7,T0284,2
774,5,6.912940963712209,790,8,T0258,2
704,7,3.911301259223138,1237,8,T0280,2
50,5,10.158768724323703,2983,12,T0499,0
480,5,8.113667068979797,1830,7,T0182,0
534,4,14.728724610347438,2899,5,T0151,0
427,5,15.012312873275167,3534,6,T0065,0
867,5,6.67200131313093,1204,6,T0338,2
858,6,6.262010744913568,750,11,T0264,2
792,1,3.855304767583276,712,8,T0401,2
484,3,10.067241407887524,3008,8,T0139,0
673,5,1.8955302701465788,637,12,T0246,2
425,4,17.120388946003757,1834,5,T0130,0
467,1,15.961693157811103,2720,4,T0129,0
1295,7,8.551232060656238,3693,9,T0426,1
760,1,4.276603690739606,819,11,T0408,2
868,4,3.83382867503051,892,10,T0259,2
461,5,10.376374871476136,2781,4,T0042,0
451,5,10.976836871002153,2021,6,T0214,0
1369,6,7.03922103906788,3371,11,T0487,1
455,5,11.461996356602317,1848,8,T0174,0
498,5,11.720457219022762,1933,6,T0219,0
789,7,4.296445938121689,1141,5,T0332,2
47,5,10.423811821430323,4155,6,T0468,0
39,5,10.69801787314622,4138,11,T0434,0
1308,7,8.960035479210685,4377,14,T0481,1
695,1,4.247163670709126,1454,5,T0302,2
790,1,3.079779180306563,1443,5,T0360,2
422,3,13.320094491184662,3110,9,T0147,0
668,5,2.853623262705418,1239,6,T0269,2
481,5,11.975169556220852,1948,9,T0021,0
797,2,6.489739101730302,1209,5,T0267,2
681,7,6.246456023972921,641,7,T0342,2
1370,7,7.161238491297836,3635,9,T0486,1
1317,5,11.697265500415188,3556,10,T0494,1
497,3,9.314896714549551,3294,10,T0133,0
448,5,14.534481266756314,1980,9,T0191,0
697,7,2.527841104010794,1405,9,T0292,2
758,3,3.942028790552884,886,12,T0315,2
684,6,2.637570332027438,815,9,T0324,2
757,6,3.626415900048905,611,10,T0245,2
1356,7,7.885963040628559,4306,15,T0452,1
1424,5,11.141558067798826,4698,4,T0489,1
724,2,4.654032646421063,894,9,T0236,2
767,1,2.3203791936846065,809,5,T0243,2
487,5,17.336020564112744,1916,10,T0166,0
429,5,10.822321991719164,3211,8,T0033,0
877,1,2.9567774742472124,1025,8,T0368,2
882,3,3.926278651491492,772,8,T0281,2
754,6,5.554601945784191,1424,8,T0335,2
432,4,12.897615808853462,1908,3,T0047,0
1346,7,6.451017716282196,3341,4,T0471,1
812,6,2.227723724248264,1265,9,T0318,2
457,5,14.084605709939089,2093,9,T0040,0
481,5,14.143615833857746,2552,10,T0184,0
445,5,8.31116658519408,2607,9,T0210,0
463,2,18.002633386657074,1939,5,T0046,0
1392,7,8.239911857426694,3353,12,T0435,1
461,3,16.20673102599421,3496,6,T0051,0
537,3,16.402207163029328,3295,7,T0055,0
676,7,3.953771202500171,802,9,T0337,2
788,5,2.563940744380933,822,5,T0276,2
535,5,16.53420205668946,3155,10,T0003,0
675,4,6.942616528914771,902,12,T0375,2
469,2,8.098581308522533,2548,5,T0101,0
707,2,5.921774510115948,1346,10,T0395,2
464,4,8.510372848586746,2996,4,T0053,0
821,4,2.925702546614358,778,7,T0282,2
449,5,9.638287871341031,2132,9,T0066,0
666,5,2.265145125262962,738,6,T0351,2
861,6,5.923114344402768,689,5,T0350,2
792,4,5.216289512517981,1481,7,T0253,2
495,3,8.371598141289885,3147,9,T0106,0
448,5,12.7986240051019,1845,3,T0212,0
865,6,4.95151932543766,795,8,T0399,2
1313,7,8.937669907929044,4256,14,T0421,1
868,3,2.4852326285391326,944,11,T0396,2
459,5,10.528186888628372,2080,7,T0005,0
1352,6,5.069874913437911,2910,11,T0455,1
851,2,4.086807790285807,646,6,T0294,2
1338,5,7.922510110580857,3782,6,T0454,1
438,3,14.17949973324455,3547,3,T0118,0
884,3,5.779122040058044,684,12,T0372,2
509,4,18.5373123997921,3506,3,T0217,0
461,4,19.697889759363097,2293,8,T0086,0
527,5,10.73896246796265,2649,9,T0073,0
476,3,9.396056454693142,2834,10,T0102,0
536,3,12.330328304504295,1963,7,T0092,0
668,1,3.888635501232878,1288,9,T0296,2
761,1,6.288273968353471,895,6,T0361,2
682,3,1.646141672460137,891,7,T0410,2
540,4,12.21637287636359,2953,10,T0025,0
674,2,6.175969934604239,848,12,T0311,2
525,4,17.19063610705326,3060,10,T0035,0
512,5,16.274451119256675,2151,7,T0013,0
788,5,5.96729216624288,999,10,T0322,2
758,7,6.525788536797768,1424,6,T0331,2
453,2,18.02883903052596,1856,7,T0002,0
848,2,4.295491197675988,1057,9,T0298,2
458,5,11.028960890609154,3345,10,T0031,0
526,3,10.770186809997131,3298,6,T0176,0
455,5,17.149637987018583,2645,9,T0063,0
422,1,15.03527666587542,3251,3,T0049,0
519,2,15.808560759579237,2490,7,T0189,0
493,4,19.067956939181663,2180,10,T0207,0
683,6,3.50380533195609,1353,11,T0238,2
540,3,10.367445901529909,2756,9,T0062,0
731,1,5.187986513158931,1371,9,T0285,2
519,5,9.263310645194782,2423,5,T0225,0
1392,7,11.024641349294512,4703,4,T0457,1
3,7,10.173024151144578,2763,12,T0500,0
1270,5,7.727045382431931,4351,7,T0490,1
1357,7,7.029533390656908,3368,4,T0413,1
712,4,6.028629735865608,1308,8,T0317,2
816,5,3.743686329012316,1109,6,T0376,2
716,4,3.87581863652924,1069,7,T0249,2
526,1,14.030278923231933,2203,9,T0116,0
540,5,16.442352706161472,3061,10,T0043,0
1338,6,6.765273828374063,2720,15,T0472,1
454,4,16.63836206409386,1887,3,T0221,0
439,3,10.266777984933103,2698,3,T0192,0
